ticker,,mean,std,skew,kurt,log_ret,sector
AAPL,L1,0.000342824755238962,0.02472570686747419,-30.06322766698934,1548.972922247403,0.000342824755238962,Industrial
AAPL,L2,0.000342824755238962,0.02472570686747419,-30.06322766698934,1548.972922247403,0.006437225620192713,Industrial
AAPL,L3/L2,0.000342824755238962,0.02472570686747419,-30.06322766698934,1548.972922247403,0.01119817214400778,Industrial
AAPL,L4/L2,0.000342824755238962,0.02472570686747419,-30.06322766698934,1548.972922247403,0.5936863575155971,Industrial
ADBE,L1,3.853252492524457e-05,0.011602246810209584,-28.93498302520692,1676.0120382715688,3.8532524925244334e-05,Industrial
ADBE,L2,3.853252492524457e-05,0.011602246810209584,-28.93498302520692,1676.0120382715688,0.0020223984390862334,Industrial
ADBE,L3/L2,3.853252492524457e-05,0.011602246810209584,-28.93498302520692,1676.0120382715688,0.006935720652977933,Industrial
ADBE,L4/L2,3.853252492524457e-05,0.011602246810209584,-28.93498302520692,1676.0120382715688,0.8576788377295403,Industrial
ADP,L1,9.774471314367025e-05,0.005305817213336994,-1.411564266868982,125.16534674103241,9.774471314367022e-05,Industrial
ADP,L2,9.774471314367025e-05,0.005305817213336994,-1.411564266868982,125.16534674103241,0.0009868138197073127,Industrial
ADP,L3/L2,9.774471314367025e-05,0.005305817213336994,-1.411564266868982,125.16534674103241,0.08289517954611902,Industrial
ADP,L4/L2,9.774471314367025e-05,0.005305817213336994,-1.411564266868982,125.16534674103241,0.8987917632362349,Industrial
BA,L1,-5.9876140003743036e-05,0.008032811057259613,-5.5807874010895855,255.50582169592553,-5.987614000374292e-05,Industrial
BA,L2,-5.9876140003743036e-05,0.008032811057259613,-5.5807874010895855,255.50582169592553,0.0016251923825083016,Industrial
BA,L3/L2,-5.9876140003743036e-05,0.008032811057259613,-5.5807874010895855,255.50582169592553,-0.036681594918594,Industrial
BA,L4/L2,-5.9876140003743036e-05,0.008032811057259613,-5.5807874010895855,255.50582169592553,0.8796904371123718,Industrial
CAT,L1,1.078036131932518e-05,0.0032974124812389966,0.9077775231369651,184.05913153107426,1.078036131932515e-05,Industrial
CAT,L2,1.078036131932518e-05,0.0032974124812389966,0.9077775231369651,184.05913153107426,0.00038838912777732057,Industrial
CAT,L3/L2,1.078036131932518e-05,0.0032974124812389966,0.9077775231369651,184.05913153107426,0.02798577799522836,Industrial
CAT,L4/L2,1.078036131932518e-05,0.0032974124812389966,0.9077775231369651,184.05913153107426,0.96574398947626,Industrial
CSCO,L1,-1.827227748497914e-05,0.004651348888790388,-1.2802707396904136,226.71797252312976,-1.8272277484979117e-05,Industrial
CSCO,L2,-1.827227748497914e-05,0.004651348888790388,-1.2802707396904136,226.71797252312976,0.0006820109192110003,Industrial
CSCO,L3/L2,-1.827227748497914e-05,0.004651348888790388,-1.2802707396904136,226.71797252312976,-0.028055434215978076,Industrial
CSCO,L4/L2,-1.827227748497914e-05,0.004651348888790388,-1.2802707396904136,226.71797252312976,0.9404307424037851,Industrial
DE,L1,4.6081113175335424e-05,0.005445509303486945,-2.717150053413462,135.2396801824323,4.608111317533531e-05,Industrial
DE,L2,4.6081113175335424e-05,0.005445509303486945,-2.717150053413462,135.2396801824323,0.0009797925155068073,Industrial
DE,L3/L2,4.6081113175335424e-05,0.005445509303486945,-2.717150053413462,135.2396801824323,0.03895908972424,Industrial
DE,L4/L2,4.6081113175335424e-05,0.005445509303486945,-2.717150053413462,135.2396801824323,0.9164035321862533,Industrial
EMR,L1,-3.3751212130635394e-05,0.003390745924824783,-6.976391463167228,390.7370269773201,-3.375121213063539e-05,Industrial
EMR,L2,-3.3751212130635394e-05,0.003390745924824783,-6.976391463167228,390.7370269773201,0.00034270419301928593,Industrial
EMR,L3/L2,-3.3751212130635394e-05,0.003390745924824783,-6.976391463167228,390.7370269773201,-0.09685124658252806,Industrial
EMR,L4/L2,-3.3751212130635394e-05,0.003390745924824783,-6.976391463167228,390.7370269773201,0.9731185662324293,Industrial
FDX,L1,2.765966645489254e-05,0.0073919106695072455,-0.387423375198826,127.45293931518609,2.7659666454892487e-05,Industrial
FDX,L2,2.765966645489254e-05,0.0073919106695072455,-0.387423375198826,127.45293931518609,0.0016583300935814975,Industrial
FDX,L3/L2,2.765966645489254e-05,0.0073919106695072455,-0.387423375198826,127.45293931518609,0.014020182241033319,Industrial
FDX,L4/L2,2.765966645489254e-05,0.0073919106695072455,-0.387423375198826,127.45293931518609,0.8512910819586098,Industrial
GE,L1,2.5475077978653996e-05,0.002003205462456525,2.547403521895477,414.81112415631566,2.5475077978653996e-05,Industrial
GE,L2,2.5475077978653996e-05,0.002003205462456525,2.547403521895477,414.81112415631566,0.0001640674772946365,Industrial
GE,L3/L2,2.5475077978653996e-05,0.002003205462456525,2.547403521895477,414.81112415631566,0.1526751846857813,Industrial
GE,L4/L2,2.5475077978653996e-05,0.002003205462456525,2.547403521895477,414.81112415631566,0.9832894787913701,Industrial
HON,L1,1.5173554115372588e-05,0.00230724316654582,6.568093490715651,345.498998008607,1.5173554115372605e-05,Industrial
HON,L2,1.5173554115372588e-05,0.00230724316654582,6.568093490715651,345.498998008607,0.0002551308561413717,Industrial
HON,L3/L2,1.5173554115372588e-05,0.00230724316654582,6.568093490715651,345.498998008607,0.058427727158957395,Industrial
HON,L4/L2,1.5173554115372588e-05,0.00230724316654582,6.568093490715651,345.498998008607,0.9684249152244144,Industrial
HPQ,L1,3.818048228868389e-05,0.014036466197927887,-17.533873793807423,834.4680083224043,3.818048228868386e-05,Industrial
